word,uses in GPT_3.5.txt,uses in GPT_4.0.txt,total uses
run,8,7,15
1,6,4,10
cats,5,4,9
animals,5,4,9
meanings,5,2,7
two,4,2,6
principle,2,4,6
oscars,5,1,6
one,3,3,6
english,3,3,6
arithmetic,2,4,6
units,3,2,5
unit,1,4,5
number,2,3,5
mathematics,1,4,5
mathematical,1,4,5
equation,1,4,5
basic,1,4,5
based,2,3,5
2023,4,1,5
2,3,2,5
word,3,1,4
total,2,2,4
specific,3,1,4
concept,2,2,4
used,1,2,3
picture,2,1,3
fundamental,1,2,3
forms,1,2,3
essence,1,2,3
end,1,2,3
contexts,2,1,3
characteristic,2,1,3
best,2,1,3
another,1,2,3
addition,1,2,3
ability,2,1,3
film,1,1,2
distinct,1,1,2
dictionary,1,1,2
running,9,0,9
g,9,0,9
e,9,0,9
flow,5,0,5
quickly,4,0,4
play,4,0,4
perform,4,0,4
news,4,0,4
group,4,0,4
function,4,0,4
represents,3,0,3
particular,3,0,3
move,3,0,3
members,3,0,3
last,3,0,3
items,3,0,3
item,3,0,3
information,3,0,3
counting,3,0,3
certain,3,0,3
case,3,0,3
year,2,0,2
won,2,0,2
winners,2,0,2
website,2,0,2
visiting,2,0,2
update,2,0,2
travel,2,0,2
substance,2,0,2
state,2,0,2
single,2,0,2
result,2,0,2
recommend,2,0,2
real-time,2,0,2
publish,2,0,2
program,2,0,2
print,2,0,2
possess,2,0,2
period,2,0,2
pass,2,0,2
participate,2,0,2
operate,2,0,2
official,2,0,2
occurred,2,0,2
nominees,2,0,2
movie,2,0,2
manage,2,0,2
liquid,2,0,2
latest,2,0,2
larger,2,0,2
knowledge,2,0,2
january,2,0,2
foot,2,0,2
flee,2,0,2
find,2,0,2
extend,2,0,2
events,2,0,2
escape,2,0,2
entertainment,2,0,2
consulting,2,0,2
combining,2,0,2
checking,2,0,2
category,2,0,2
add,2,0,2
access,2,0,2
2022,2,0,2
yes,1,0,1
widely,1,0,1
water,1,0,1
walking,1,0,1
various,1,0,1
uses,1,0,1
use,1,0,1
updates,1,0,1
up-to-date,1,0,1
universal,1,0,1
understood,1,0,1
trouble,1,0,1
transportation,1,0,1
transport,1,0,1
train,1,0,1
time,1,0,1
thoughts,1,0,1
therefore,1,0,1
task,1,0,1
tap,1,0,1
system,1,0,1
swiftly,1,0,1
subset,1,0,1
story,1,0,1
starting,1,0,1
sports,1,0,1
specialized,1,0,1
sources,1,0,1
source,1,0,1
sorry,1,0,1
smaller,1,0,1
situation,1,0,1
simple,1,0,1
show,1,0,1
service,1,0,1
route,1,0,1
role,1,0,1
river,1,0,1
results,1,0,1
reliable,1,0,1
reflects,1,0,1
received,1,0,1
race,1,0,1
r,1,0,1
provide,1,0,1
promotion,1,0,1
principles,1,0,1
primary,1,0,1
point,1,0,1
place,1,0,1
person's,1,0,1
people,1,0,1
part,1,0,1
pace,1,0,1
oxford,1,0,1
oscar,1,0,1
organization,1,0,1
operation,1,0,1
office,1,0,1
objects,1,0,1
object,1,0,1
nuanced,1,0,1
musical,1,0,1
multiple,1,0,1
mind,1,0,1
machine,1,0,1
logically,1,0,1
listed,1,0,1
line,1,0,1
leak,1,0,1
industries,1,0,1
increase,1,0,1
inclusion,1,0,1
idea,1,0,1
i'm,1,0,1
here's,1,0,1
head,1,0,1
goods,1,0,1
foundation,1,0,1
football,1,0,1
follows,1,0,1
first,1,0,1
films,1,0,1
fever,1,0,1
faster,1,0,1
explanation,1,0,1
experiences,1,0,1
expected,1,0,1
execute,1,0,1
everyday,1,0,1
event,1,0,1
essentially,1,0,1
endure,1,0,1
distance,1,0,1
direction,1,0,1
different,1,0,1
device,1,0,1
developments,1,0,1
date,1,0,1
data,1,0,1
danger,1,0,1
current,1,0,1
critical,1,0,1
control,1,0,1
continue,1,0,1
container,1,0,1
confusion,1,0,1
condition,1,0,1
concluded,1,0,1
computer,1,0,1
competition,1,0,1
commonly,1,0,1
common,1,0,1
charge,1,0,1
change,1,0,1
cause,1,0,1
business,1,0,1
bus,1,0,1
broadcast,1,0,1
belong,1,0,1
begin,1,0,1
base-10,1,0,1
award,1,0,1
assumed,1,0,1
article,1,0,1
apologize,1,0,1
also,1,0,1
air,1,0,1
adding,1,0,1
active,1,0,1
accurately,1,0,1
acclaim,1,0,1
accepted,1,0,1
30,1,0,1
running,0,9,9
g,0,9,9
e,0,9,9
flow,0,5,5
quickly,0,4,4
play,0,4,4
perform,0,4,4
news,0,4,4
group,0,4,4
function,0,4,4
represents,0,3,3
particular,0,3,3
move,0,3,3
members,0,3,3
last,0,3,3
items,0,3,3
item,0,3,3
information,0,3,3
counting,0,3,3
certain,0,3,3
case,0,3,3
year,0,2,2
won,0,2,2
winners,0,2,2
website,0,2,2
visiting,0,2,2
update,0,2,2
travel,0,2,2
substance,0,2,2
state,0,2,2
single,0,2,2
result,0,2,2
recommend,0,2,2
real-time,0,2,2
publish,0,2,2
program,0,2,2
print,0,2,2
possess,0,2,2
period,0,2,2
pass,0,2,2
participate,0,2,2
operate,0,2,2
official,0,2,2
occurred,0,2,2
nominees,0,2,2
movie,0,2,2
manage,0,2,2
liquid,0,2,2
latest,0,2,2
larger,0,2,2
knowledge,0,2,2
january,0,2,2
foot,0,2,2
flee,0,2,2
find,0,2,2
extend,0,2,2
events,0,2,2
escape,0,2,2
entertainment,0,2,2
consulting,0,2,2
combining,0,2,2
checking,0,2,2
category,0,2,2
add,0,2,2
access,0,2,2
2022,0,2,2
yes,0,1,1
widely,0,1,1
water,0,1,1
walking,0,1,1
various,0,1,1
uses,0,1,1
use,0,1,1
updates,0,1,1
up-to-date,0,1,1
universal,0,1,1
understood,0,1,1
trouble,0,1,1
transportation,0,1,1
transport,0,1,1
train,0,1,1
time,0,1,1
thoughts,0,1,1
therefore,0,1,1
task,0,1,1
tap,0,1,1
system,0,1,1
swiftly,0,1,1
subset,0,1,1
story,0,1,1
starting,0,1,1
sports,0,1,1
specialized,0,1,1
sources,0,1,1
source,0,1,1
sorry,0,1,1
smaller,0,1,1
situation,0,1,1
simple,0,1,1
show,0,1,1
service,0,1,1
route,0,1,1
role,0,1,1
river,0,1,1
results,0,1,1
reliable,0,1,1
reflects,0,1,1
received,0,1,1
race,0,1,1
r,0,1,1
provide,0,1,1
promotion,0,1,1
principles,0,1,1
primary,0,1,1
point,0,1,1
place,0,1,1
person's,0,1,1
people,0,1,1
part,0,1,1
pace,0,1,1
oxford,0,1,1
oscar,0,1,1
organization,0,1,1
operation,0,1,1
office,0,1,1
objects,0,1,1
object,0,1,1
nuanced,0,1,1
musical,0,1,1
multiple,0,1,1
mind,0,1,1
machine,0,1,1
logically,0,1,1
listed,0,1,1
line,0,1,1
leak,0,1,1
industries,0,1,1
increase,0,1,1
inclusion,0,1,1
idea,0,1,1
i'm,0,1,1
here's,0,1,1
head,0,1,1
goods,0,1,1
foundation,0,1,1
football,0,1,1
follows,0,1,1
first,0,1,1
films,0,1,1
fever,0,1,1
faster,0,1,1
explanation,0,1,1
experiences,0,1,1
expected,0,1,1
execute,0,1,1
everyday,0,1,1
event,0,1,1
essentially,0,1,1
endure,0,1,1
distance,0,1,1
direction,0,1,1
different,0,1,1
device,0,1,1
developments,0,1,1
date,0,1,1
data,0,1,1
danger,0,1,1
current,0,1,1
critical,0,1,1
control,0,1,1
continue,0,1,1
container,0,1,1
confusion,0,1,1
condition,0,1,1
concluded,0,1,1
computer,0,1,1
competition,0,1,1
commonly,0,1,1
